id,name,description
866,Broadbean,"Staffing, Job Board"
867,BrokerageBuilder,Insurance Agency Management Systems
868,Browse AI,Data Extraction
869,Bruin,Mobile Device Management (MDM)
870,Bryq,"Diversity Recruiting, Talent Assessment, Talent Intelligence"
871,BuKu,Billing
872,Bucksense,"Demand Side Platform (DSP), Cross-Channel Advertising, Retargeting, Display Advertising, Mobile Advertising, Video Advertising"
873,Bud,"Digital Banking Platforms, Financial Data APIs, Digital Customer Onboarding"
874,Buddha Backup,"Database Backup, PC Backup"
875,BugHerd,"Bug Tracking, Enterprise Feedback Management"
876,BugReplay,Bug Tracking
877,BuildAI,Construction Data Analytics
878,Buildots,"Jobsite Management, Construction Project Management, Construction Data Analytics"
879,Buildr,"Procore App Marketplace Partners, Construction Project Management"
880,BuiltWith,"Lead Mining, Data as a Service (DaaS)"
881,Bumblebee,Child Care
882,Bushel Farm,Farm Management
883,Business Report,Other Finance \\u0026 Admin.
884,BusinessRadar,Financial Analysis
885,Buxton,Customer Data Platform (CDP)
886,Buzz,"Sales Engagement, AI Sales Assistant, Sales Intelligence, Lead Capture"
887,BuzzCast,Virtual Event Platforms
888,ByAllAccounts,Financial Research
889,ByPath,Sales Intelligence
890,Bynder,"Brand Asset Management, Digital Rights Management (DRM), Content Experience Platforms, Content Creation, Creative Management Platforms, Digital Asset Management, Content Distribution"
891,ByteBridge,Data Labeling Services
892,Bytesview,Text Analysis
893,C++Builder,"C/C++ Integrated Development Environments (IDE), Application Development Platforms"
894,C-Phrase,Natural Language Understanding (NLU)
895,C-Track,Court Management
896,C2 Storage for Hybrid Share,"Cloud File Storage, Hybrid Cloud Storage Solutions, Online Backup"
897,C2M Connect,IoT Platforms
898,CA Dynamic Capacity Intelligence,Data Center Infrastructure Management (DCIM)
899,CA IDMS,"Relational Databases, Database Management Systems (DBMS)"
900,CA Test Data Manager,"Synthetic Data, Data Masking"
901,CACHATTO,Remote Desktop
902,CAD Assistant,CAD Viewers
903,CADLink,SAP Store
904,CADMATIC 3D Plant Design,Building Design and Building Information Modeling (BIM)
905,CADWorx,Building Design and Building Information Modeling (BIM)
906,CADbro,CAD Viewers
907,CALLREVU,Other Automotive
908,CAM-TOOL,Computer-Aided Manufacturing (CAM)
909,CAM350,PCB Design
910,CAMS (Compliance Audit Management System),Audit Management
911,CANDDi,"Buyer Intent Data Providers, Visitor Identification, Lead Capture"
912,CARET Legal,"Legal Billing, Legal Practice Management, Legal Case Management"
913,CARTO,"Location Intelligence, GIS"
914,CATT Claim Adjudication System,Other Health Care Operations
915,CATpool-PCM,Catalog Management
916,CB Insights,Marketing Analytics
917,CB4,"Retail Execution, Retail Analytics, Retail Intelligence"
918,CDOC,Cloud Content Collaboration
919,CDW Amplified Services,"Network Security Services, Application Security Services, Vulnerability Assessment Services, Threat Hunting Services, Cybersecurity Consulting, Cloud Consulting, Digital Transformation Consulting, Managed Services, Data Security Services, Data Governance Services, IT Infrastructure Consulting, Managed IT Services, IT Strategy Consulting, ITSM Tool Implementation, Consulting, and Managed Services, IT Outsourcing, Cross-Platform Developers, Software Developer Services, Testing and QA"
920,CDW Hardware,"ServiceNow Consulting Services, IBM Security VARs, Managed Print Services, Autodesk Channel Partners, Other Microsoft Resellers, Adobe Channel Partners, Other Cisco Resellers, Cisco Unified Communications Resellers, Cisco Data Center Resellers, Cisco Cloud Resellers, Business Intelligence (BI) Consulting, Google Consulting Services, AWS Consulting Services"
921,CData Arc,"Enterprise Service Bus (ESB), API Management, Electronic Data Interchange (EDI), Managed File Transfer (MFT)"
922,CData Enterprise Data Connectivity Solutions,Other Product Suites
923,CData Sync,"Data Replication, ETL Tools, SAP Store"
924,CI Visitor,Visitor Management
925,CIERTO,Digital Asset Management
926,CIMCON Software,IT Risk Management
927,CLOUDBASIC RDS,Relational Databases
928,CMS2CMS,Other Development
929,CMiC Platform,"Construction ERP, Autodesk Construction Cloud Integration Partners, Construction Drawing Management, Construction Data Analytics, Construction Project Management, Construction Accounting"
930,CNEX Labs,Data Center Infrastructure Management (DCIM)
931,CODESYS Visualization,Supervisory Control and Data Acquisition (SCADA)
932,COINS - One App for Crypto,Cryptocurrency Wallets
933,COMCASH POS,"Retail POS, Retail Management Software"
934,COPLINK,Crime Analytics
935,COZYROC Solutions,"On-Premise Data Integration, iPaaS, ETL Tools"
936,CRD Crystal Reports Scheduler,"Other Non-Relational Databases, SAP Store"
937,CREST ERP,ERP Systems
938,CRM Bot,Chatbots
939,CRM Implementation,Contact Center Outsourcing Services
940,CRM for Jira - Customers and Sales,Other Sales
941,CRMIT,"Other Solution Consulting, Mobility Consulting, Oracle Cloud Application Resellers, Oracle Database Resellers"
942,CSIRoad,Trucking
943,CStoreOffice,"Retail Management Software, Inventory Control"
944,CT Connect,Sales Coaching
945,CUBO iQ® Enterprise,"Big Data Analytics, Data Quality, Data Preparation"
946,CUFinder,"Lead Mining, Lead Capture, Sales Intelligence, Account Data Management, Lead Intelligence"
947,CXL,"Technical Skills Development, eLearning Content, Online Course Providers"
948,CYRISMA,"Risk-Based Vulnerability Management, Vulnerability Scanner, Dark Web Monitoring, Sensitive Data Discovery"
949,CadActive Platform,Other CAD
950,CadCam,Technical Skills Development
951,Caddy Food Safety Management,"Food Safety Management, Food Traceability"
952,CaliberMind,"Customer Data Platform (CDP), Account-Based Analytics, Account Data Management, Marketing Analytics, Attribution, Lead-to-Account Matching and Routing"
953,Caliso Calibration Toolbox ADO,Other Laboratory
954,Calixa,"Customer Journey Analytics, Sales Intelligence, AI Sales Assistant, Buyer Intent Data Providers"
955,Call Sumo,Inbound Call Tracking
956,Call Tracker,Inbound Call Tracking
957,CallFinder,"Call Compliance, Contact Center Quality Assurance, Speech Analytics, Contact Center Workforce"
958,CallJourney,"Conversation Intelligence, Genesys AppFoundry Marketplace"
959,CallTrax Plus,Inbound Call Tracking
960,CallView 360,Inbound Call Tracking
961,CallZen.ai,Speech Analytics
962,Callbox,"Lead Generation Services, Data Entry Services"
963,Callisto,Data Visualization
964,Callyzer,Other Sales
965,Calyx PointCentral,Loan Servicing
966,Campaign Partner,Political Campaign
967,Campaign Stars,"Content Marketing Agencies, Account-Based Marketing Consulting, Drift Consulting, Marketing Strategy"
968,CampaignAlyzer,"URL Shortener, Tag Management Systems"
969,CampaignTrackly,"Data Governance, URL Shortener, Content Analytics, QR Code Generator, Smart Link"
970,CanIRank,SEO Tools
971,Canadian Cloud Backup,"Online Backup, Disaster Recovery as a Service (DRaaS)"
972,CandidData,Market Research Services
973,CandidateZip,Other Recruiting
974,Canopy Software,Data Breach Notification
975,CapB InfoteK,"Managed IT Services, SAP Consulting Services, Oracle Consulting Services"
976,CapLinked,"Virtual Data Room, Digital Rights Management (DRM)"
977,Capency DataPlatform,Web Data Providers
978,Capgemini Services,"Infor Consulting Services, ServiceNow Consulting Services, IBM Consulting Services, AWS Consulting Services, Workday Consulting Services, Adobe Consulting Services, Google Consulting Services, Oracle Consulting Services, SAP Consulting Services, Microsoft Consulting Services, Salesforce Consulting Services, Business Process Management (BPM) Services, Robotic Process Automation (RPA) Consultancy Services, Threat Hunting Services, IoT Security Services, IBM Security VARs, IBM Server VARs, Quote-to-Cash Consulting, Managed Security Services (MSSP), Other Oracle Resellers, Oracle Database Resellers, Oracle Siebel Resellers, Oracle Fusion Applications Resellers, Oracle PeopleSoft Resellers, Oracle JD Edwards EnterpriseOne Resellers, Oracle E-Business Suite Resellers, Oracle Cloud Application Resellers, Mobility Consulting, IT Infrastructure Consulting, Braze Consulting Services, Genesys Consulting Services, Citrix Consulting Services"
979,Caplena,"Feedback Analytics, Text Analysis, Analytics Platforms, Enterprise Feedback Management"
980,Captain Data,Other Lead Generation
981,Captiv8,Influencer Marketing Platforms
982,Capture911,Evidence Management
983,Capturi,"Conversation Intelligence, Feedback Analytics, Speech Analytics, Contact Center Quality Assurance"
984,Carbon Black EDR,Endpoint Detection \\u0026 Response (EDR)
985,Carbonite Backup for Microsoft 365,SaaS Backup
986,Carbonite Information Archiving,Archive Storage Solutions
987,Carbonite Safe Backup,"Online Backup, Data Replication"
988,Carbonite Safe Server Backup,"Server Backup, Data Replication"
989,Carbonite Server,"Server Backup, Disaster Recovery as a Service (DRaaS), Database Backup, File Recovery, Online Backup"
990,CardConnect,Payment Processing
991,Cardata,"Expense Management, Mileage Tracking"
992,Cardboard,VR SDK
993,Cardlytics,"Marketing Analytics, Native Advertising"
994,Cargoes,Global Trade Management
995,Carhire Manager Web,Car Rental
996,Caringo Swarm,Object Storage Solutions
997,CartInsight,"E-Commerce Analytics, Sales Intelligence, Retail Intelligence"
998,Carta 409A Valuation,409A Valuations Providers
999,Carta Total Comp,Compensation Management
1000,CaseDirectorPro,Legal Case Management
1001,CaseFleet,Legal Case Management
1002,CaseWare Cloud,Accounting Practice Management
1003,CaseWare IDEA,Audit Management
1004,CashPoint,"Retail Management Software, Retail POS"
1005,CashierLive Standard,Retail Management Software
1006,Caspio,"Workplace Innovation Platforms, Low-Code Development Platforms, No-Code Development Platforms, Database as a Service (DBaaS), Database Management Systems (DBMS), Application Development Platforms"
1007,Cassandra,"Wide Column Database, Key Value Databases"
1008,Castor,Electronic Data Capture (EDC)
1009,CastorDoc,"Data Governance, Active Metadata Management, DataOps Platforms, Machine Learning Data Catalog"
1010,Catalog Machine,Catalog Management
1011,CatalogForce,"Product Information Management (PIM), Demand Planning, Catalog Management"
1012,Catalogue Manager,Catalog Management
1013,Catalyst,"Customer Revenue Optimization, Customer Data Platform (CDP), Customer Success, Customer Journey Mapping, Customer Journey Analytics"
1014,Catapult,"Supplier Relationship Management (SRM), RFP, Strategic Sourcing, Proposal, Q\\u0026A Platforms"
1015,Catapult Manage,Product Information Management (PIM)
1016,Catchpoint,"Digital Experience Monitoring (DEM), Cloud Infrastructure Monitoring, Application Performance Monitoring (APM), Network Monitoring, Digital Employee Experience (DEX) Management, Observability Solution Suites"
1017,Causal,"Budgeting and Forecasting, Corporate Performance Management (CPM), Financial Analysis, Cash Flow Management, Feature Management"
1018,Cavallo,Distribution ERP
1019,Cayen AfterSchool,School Management
1020,Cayley,Graph Databases
1021,Cecuring Enterprise Suite,"Certificate Lifecycle Management (CLM), SSL \\u0026 TLS Certificates, Encryption Key Management"
1022,Celigo,"iPaaS, API Marketplace, SAP Store"
1023,CellSell,Retail Management Software
1024,Cellebrite,Digital Forensics
1025,Celo,"Clinical Communication and Collaboration, HIPAA Compliant Messaging"
1026,Cendyn CRM,Other Hospitality
1027,Census,"Reverse ETL, DataOps Platforms, Customer Data Platform (CDP), Big Data Integration Platforms, iPaaS, ETL Tools"
1028,Center,"Spend Management, Expense Management, Travel Management, Travel \\u0026 Expense Management"
1029,Centime,"Accounts Payable (AP) and Spend Analysis, Accounts Receivable, AP Automation, Budgeting and Forecasting, Cash Flow Management"
1030,Central Data,"Infor Distribution SX.e Resellers, Acumatica Channel Partners, Infor Distribution FACTS Resellers, Infor Consulting Services"
1031,CentralBOS,"Distribution ERP, ERP Systems"
1032,CentralSquare Records,Police Records Management System (RMS)
1033,CentreStack,Cloud Content Collaboration
1034,Centreon,"Application Performance Monitoring (APM), Enterprise Monitoring, Server Monitoring, Log Monitoring, Hardware Monitoring, Database Monitoring, Digital Experience Monitoring (DEM), Remote Monitoring \\u0026 Management (RMM), Cloud Infrastructure Monitoring, IT Alerting, Container Monitoring, Network Monitoring, Digital Employee Experience (DEX) Management, Observability Solution Suites"
1035,Centric Consulting,"UKG Consulting Services, Oracle Consulting Services, NetSuite Consulting Services, Microsoft Consulting Services, Salesforce Consulting Services, Managed IT Services, Cloud Migration Services, Business Plan Consulting, Artificial Intelligence Consulting, Revenue Operations Services, Supply Chain Strategy and Operations Consulting, IBM Storage VARs, Email Security Services, Data Security Services, Application Security Services, Windows Developers, Testing and QA, iOS Developers, Internet of Things (IoT) Developers, Cross-Platform Developers, Android Developers, User Experience (UX) Design Services, IT Strategy Consulting, Mobility Consulting, IT Infrastructure Consulting, Digital Transformation Consulting, Cybersecurity Consulting, Cloud Consulting, Business Intelligence (BI) Consulting, Management Consulting, IT Outsourcing, AWS Consulting Services"
1036,Centricity Clinical Archive,Vendor-Neutral Archives (VNA)
1037,Centrifuge Analytics,Analytics Platforms
1038,Centripetal CleanINTERNET ®,"Intrusion Detection and Prevention Systems (IDPS), Cloud Edge Security, Threat Intelligence, Data Center Security Solutions"
1039,Centro,"PLM, Product Data Management (PDM)"
1040,Centroid,"Oracle Cloud Application Resellers, Oracle Database Resellers, Oracle E-Business Suite Resellers, Oracle Consulting Services"
1041,Certa,"Third Party \\u0026 Supplier Risk Management, Enterprise Risk Management (ERM), Procure to Pay, Risk-Based Vulnerability Management"
1042,Certain Event Management,"Event Marketing, Event Planning, Event Management Platforms, Mobile Event Apps, Virtual Event Platforms"
1043,Certdox,Food Safety Management
1044,Certopus,Digital Credential Management
1045,Cervinodata,"Google Workspace for Marketing, Marketing Analytics"
1046,Change Healthcare Data \u0026 Analytics Solutions,Healthcare Analytics
1047,Change Healthcare Office,Insurance Claims Management
1048,ChangeNerd,Other B2B Services
1049,Channable,"Multichannel Retail, E-Commerce Data Integration"
1050,Channel Marketing Solution,"Through-Channel Marketing, Partner Management"
1051,Channel Mechanics PRM,"Partner Management, Rebate Management, Channel Incentives Management (CIM) "
1052,ChannelApe,"3PL, E-Commerce Analytics"
1053,ChannelEngine,"Online Marketplace Optimization Tools, E-Commerce Data Integration, Multichannel Retail, E-Commerce Analytics"
1054,ChannelMix,"Customer Journey Mapping, Retail Analytics, E-Commerce Analytics, Customer Journey Analytics, Marketing Analytics, Content Analytics, Attribution, Social Media Analytics, Digital Analytics, Predictive Analytics"
1055,ChannelReply,Online Marketplace Optimization Tools
1056,ChaosSearch Data Lake Platform,"Log Analysis, Big Data Analytics"
1057,Chart.Js,"JavaScript Web Frameworks, Data Visualization, Data Visualization Libraries"
1058,ChartBlocks,Data Visualization
1059,ChartHop,"Workforce Planning, Org Chart, HR Analytics, Compensation Management, Performance Management, Core HR"
1060,ChartMogul,Subscription Analytics
1061,Chartboost,App Monetization Platforms
1062,CharterLog,Aviation MRO
1063,Chartio,Analytics Platforms
1064,Chartist Js,"Data Visualization, JavaScript Web Frameworks"
1065,Chartmetric,"Other Analytics, Business Music"
1066,Charts by VirtoSoftware,Data Visualization
1067,ChatDox AI,AI Chatbots
1068,ChatNBX,"Large Language Models (LLMs), AI Code Generation, AI Chatbots, AI Writing Assistant, Natural Language Generation (NLG), Artificial Neural Network, Natural Language Understanding (NLU), Generative AI Infrastructure"
1069,Chatboat,Chatbots
1070,ChatrHub,Intelligent Virtual Assistants
1071,Chatter,"Enterprise Social Networking (ESN), Salesforce AppExchange Apps"
1072,Chattermill,"Feedback Analytics, Text Analysis, Enterprise Feedback Management"
1073,Check Point Capsule,"Unified Threat Management (UTM), Mobile Data Security"
1074,Check Point Endpoint Remote Access VPN,"Business VPN, Remote Desktop"
1075,Check Point Mobile Access,Mobile Data Security
1076,CheckMark™ 1099 software,Corporate Tax
1077,Checkout Champ,"E-Commerce Tools, Subscription Management, Shopping Cart, E-Commerce Personalization"
1078,Cheque printing software - Conduct Exam,Other Office
1079,CherryRoad,"Oracle Database Resellers, Oracle Hyperion Resellers, Oracle PeopleSoft Resellers, Oracle Consulting Services"
1080,Chetu,"Windows Developers, Other Development Services, WordPress Developers, Wearable App Development, iOS Developers, Android Developers, User Experience (UX) Design Services, Oracle PeopleSoft Resellers, Cloud Migration Services, Internet of Things (IoT) Developers, Testing and QA, Drupal Development, Microsoft Azure Resellers, Microsoft Dynamics 365 Resellers, Microsoft Dynamics CRM Resellers, Microsoft Dynamics AX Resellers, Microsoft Dynamics GP Resellers, Microsoft Dynamics NAV Resellers, Microsoft Dynamics SL Resellers, Microsoft Office 365 Resellers, SharePoint Resellers, Oracle Cloud Application Resellers, Oracle Database Resellers, Oracle E-Business Suite Resellers, Oracle JD Edwards EnterpriseOne Resellers, Oracle Fusion Applications Resellers, Oracle Hyperion Resellers, Oracle Primavera Resellers, Oracle Siebel Resellers, SAP Business All-in-One Resellers, Microsoft Consulting Services, Salesforce Consulting Services, SAP Consulting Services, Oracle Consulting Services, NetSuite Consulting Services"
1081,ChipBot,"Conversational Marketing, Chatbots"
1082,Choozle,"Audience Intelligence Platforms, Cross-Channel Advertising, Demand Side Platform (DSP), Video Advertising, Mobile Advertising, Display Advertising, Digital Audio Advertising"
1083,Chorally,"Social Media Listening Tools, Help Desk"
1084,Chrome River Connector,"Financial Data APIs, SAP Store"
1085,ChronoScan,"Document Scanning, OCR"
1086,ChronoTrack,Athletic Competition Management
1087,Chronosphere,"Enterprise Monitoring, Server Monitoring, Cloud Infrastructure Monitoring, Container Monitoring, Application Performance Monitoring (APM), Cloud Platform as a Service (PaaS), Observability Solution Suites"
1088,Church Membership Directory,Church Management
1089,ChurchTrac,"Church Management, Nonprofit Accounting, Donor Management"
1090,Churchteams,"Church Management, Volunteer Management"
1091,Churn360,Customer Success
1092,ChurnRX,Customer Success Training
1093,Cigati GoDaddy Email Backup Tool,Email Backup
1094,Cigati Google Drive Migration Tool,Google Workspace Office Tools
1095,Cigati PST to Gmail Migration Tool,Cloud Migration
1096,Cinchy,"Data Fabric, Customer Data Platform (CDP), iPaaS, ETL Tools, Data Management Platform (DMP), On-Premise Data Integration, Data Management Suites, DataOps Platforms"
1097,Cincinnati Bell Technology Solutions,"IBM Security VARs, Oracle Database Resellers"
1098,Cintra,"Oracle Database Resellers, Oracle Cloud Application Resellers, AWS Consulting Services"
1099,Cisco 5900 Series Embedded Services Routers,Virtual Routers
1100,Cisco Catalyst Switches,"Fabric Interconnects, Industrial Switching, LAN Switches, Data Center Switches"
1101,Cisco DNA Center,"Network Security Policy Management (NSPM), ServiceNow Store Apps, Network Management Tools, Software-Defined Perimeter (SDP)"
1102,Cisco IronPort,Other Cisco Resellers
1103,Cisco Nexus Dashboard,"AWS Marketplace, Data Center Infrastructure Management (DCIM)"
1104,Cisco Secure Firewall Threat Defense Virtual (formerly NGFWv),"AWS Marketplace, Firewall Software, Intrusion Detection and Prevention Systems (IDPS)"
1105,Cisco Unified Communications Manager (CallManager),"UCaaS Platforms, VoIP, Video Conferencing, Audio Conferencing, SAP Store"
1106,Cisco Vulnerability Management (formerly Kenna.VM),Risk-Based Vulnerability Management
1107,Citrix Secure Workspace Access,"Software-Defined Perimeter (SDP), Cloud Access Security Broker (CASB), Zero Trust Networking, Single Sign-On (SSO)"
1108,Citrix Workspace Essentials,"Software-Defined Perimeter (SDP), Cloud Access Security Broker (CASB), Single Sign-On (SSO), Zero Trust Networking"
1109,Claravine,Data Governance
1110,Clarifai,"Generative AI Infrastructure, Data Labeling, Data Science and Machine Learning Platforms, Image Recognition, Machine Learning"
1111,Clarify,Time Series Intelligence
1112,Clario EDC,Electronic Data Capture (EDC)
1113,Claroty,"Industrial IoT, Supervisory Control and Data Acquisition (SCADA), IoT Security Solutions, OT Secure Remote Access"
1114,Clay,"Sales Intelligence, Lead Intelligence, AI Sales Assistant, AI Writing Assistant"
1115,Clear Skye IGA,"Identity and Access Management (IAM), ServiceNow Store Apps, User Provisioning and Governance Tools"
1116,ClearCut Analytics,"E-Commerce Analytics, Online Marketplace Optimization Tools"
1117,ClearD3,Pricing
1118,ClearDATA,"Amazon Web Services Channel Partners, AWS Consulting Services"
1119,ClearDash,Accounting
1120,ClearDent,Dental Practice Management
1121,ClearML,"MLOps Platforms, Other Development"
1122,ClearPoint Strategy,"Corporate Performance Management (CPM), Strategic Planning and Execution"
1123,Clearbit,"Buyer Intent Data Providers, Marketing Account Intelligence, Lead Intelligence, Visitor Identification, Sales Intelligence"
1124,Clearstory,"Construction ERP, Jobsite Management, Construction Data Analytics, Autodesk Construction Cloud Integration Partners, Procore App Marketplace Partners"
1125,Clearswift Secure Email Gateway,"Secure Email Gateway, Email Encryption, Email Anti-spam"
1126,Clearwater Analytics,"Financial Analytics, Investment Accounting, Investment Portfolio Management"
1127,Cledara,"SaaS Operations Management, SaaS Spend Management"
1128,Cleo Integration Cloud,"Managed File Transfer (MFT), Integration Brokerage, iPaaS, On-Premise Data Integration, Electronic Data Interchange (EDI)"
1129,CleverControl Employee Monitoring,Employee Monitoring
1130,CleverMaps,Location Intelligence
1131,ClicData,"Embedded Business Intelligence, Analytics Platforms, Master Data Management (MDM), Data Management Platform (DMP), ETL Tools, Big Data Integration Platforms"
1132,Click Analytic,Social Media Marketing (SMM) Companies
1133,Click Fraud K9,Click Fraud
1134,ClickHouse,"Real-time Analytic Database, Database Management Systems (DBMS), Relational Databases, Columnar Databases"
1135,ClientFlo,"SEO Services, PPC Services, Website Design"
1136,Clientshare,"Experience Management, Client Portal"
1137,Climate FieldView,Precision Agriculture
1138,Climedo,Electronic Data Capture (EDC)
1139,Clincase,Electronic Data Capture (EDC)
1140,Clindex,"Clinical Trial Management Systems, Electronic Data Capture (EDC), Electronic Trial Master File (eTMF)"
1141,Clinevo EDC,Electronic Data Capture (EDC)
1142,Clinion,"Clinical Trial Management Systems, Electronic Data Capture (EDC)"
1143,Clinion EDC,Electronic Data Capture (EDC)
1144,Clinked,"Application Development Platforms, Client Portal, Business Instant Messaging, Employee Intranet, Virtual Data Room, Mobile Development Platforms, Cloud Content Collaboration, Portals"
1145,Clonetab,Data Masking
1146,Close,"Outbound Call Tracking, Email Tracking, CRM, Email Marketing, AI Sales Assistant, SMS Marketing"
1147,Cloud 66,"Application Release Orchestration, Cloud Platform as a Service (PaaS), Database DevOps Software"
1148,Cloud 9 Ortho,Dental Practice Management
1149,Cloud CMA,Real Estate Activities Management
1150,Cloud Compliance for Salesforce,"Sensitive Data Discovery, Consent Management Platform (CMP), Data Breach Notification, Data Subject Access Request (DSAR), Data Privacy Management, Data Masking, Cloud Compliance, Salesforce AppExchange Apps, Data De-Identification"
1151,Cloud Inventory,"Warehouse Management, Inventory Control"
1152,Cloud PACS and Diagnostic Viewer,Radiology Information Systems
1153,Cloud Sync Data Synchronization,"Cloud Migration, File Migration, On-Premise Data Integration, Data Replication"
1154,CloudAlly G Suite Backup,"Online Backup, SaaS Backup"
1155,CloudAvocado Cost Optimization,Cloud Cost Management
1156,CloudCheckr CMx,"Cloud Security Posture Management (CSPM), Cloud Management Platforms, Cloud Compliance, Cloud Data Security, Cloud Cost Management, Enterprise IT Management"
1157,CloudExtend Excel For NetSuite,Spreadsheets
1158,CloudExtend Excel for Salesforce,Salesforce AppExchange Apps
1159,CloudFactory,Data Labeling Services
1160,CloudGuard CNAPP,"Cloud-Native Application Protection Platform (CNAPP), Cloud Security Posture Management (CSPM), API Security, Cloud Security Monitoring and Analytics, Cloud Compliance, Cloud Data Security, Container Security, Cloud Workload Protection Platforms, AWS Marketplace, Cloud Detection and Response (CDR)"
1161,CloudHPT DRaaS,Disaster Recovery as a Service (DRaaS)
1162,CloudKeeper,"Cloud Cost Management, Cloud Management Platforms"
1163,CloudLead,"Account Data Management, Sales Intelligence, Lead Scoring, Lead Intelligence, Marketing Account Intelligence"
1164,CloudLinux 8 cPanel,AWS Marketplace
1165,CloudM Migrate,"Email Archiving, File Migration, Cloud Migration"
1166,CloudMasonry,"Salesforce Consulting Services, HubSpot Consulting Services"
1167,CloudMover,AWS Marketplace
1168,CloudNine Review,eDiscovery
1169,CloudNow Technologies,IT Strategy Consulting
1170,CloudOne,Marketing Automation
1171,CloudPay,Multi-Country Payroll
1172,CloudQuery,"Cloud Security Posture Management (CSPM), ETL Tools, Cloud Compliance"
1173,CloudSDS,Occupational Health and Safety (OHS)
1174,CloudSpend,Cloud Cost Management
1175,CloudTask,"Outsourced Sales Providers, Contact Center Outsourcing Services, Drift Consulting, Data Entry Services, Lead Generation Services, Managed Live Chat, Managed Services"
1176,CloudZero,Cloud Cost Management
1177,Cloudback,"SaaS Backup, Online Backup"
1178,Cloudbolt Software,"Enterprise IT Management, Cloud Management Platforms"
1179,Cloudera,"Big Data Processing and Distribution, Key Value Databases, Big Data Analytics, Data Warehouse, Big Data Integration Platforms"
1180,Cloudera Analytic DB,Relational Databases
1181,Cloudera Data Engineering,Data Science and Machine Learning Platforms
1182,Cloudera Data Flow,"Big Data Analytics, Stream Analytics"
1183,Cloudera Data Platform,"Machine Learning Data Catalog, Data Fabric"
1184,Cloudera Data Science,Relational Databases
1185,"Cloudera, Inc.","Amazon Web Services Channel Partners, IBM Consulting Services"
1186,Cloudflare Zero Trust Services,Zero Trust Networking
1187,Cloudingo,"Data Quality, Salesforce AppExchange Apps"
1188,CloudsIntel,Cloud Migration Assessment Tools
1189,Cloudscene,"Location Intelligence, Technology Scouting"
1190,Cloudsfer,"File Migration, Autodesk Construction Cloud Integration Partners, Cloud Migration"
1191,CloverDX,"ETL Tools, On-Premise Data Integration, Data Mapping"
1192,Clumio,"Backup Solution Suites, Database Backup, Online Backup, Server Backup, SaaS Backup"
1193,ClusterControl,Database Management Systems (DBMS)
1194,Clutch.co,B2B Services Review Platforms
1195,Cluvio,"Embedded Business Intelligence, Data Visualization"
1196,CoCo,Social Media Analytics
1197,CoPilot,Salesforce AppExchange Apps
1198,CoPlot,Other Analytics
1199,CoStar Investment Analysis,Real Estate Investment Management
1200,CoachAccountable,Coaching
1201,Coaching For Excellence - C4X,Mentoring
1202,Cobalt,"Crowd Testing Tools, Penetration Testing"
1203,CocoPacket,Network Monitoring
1204,"CodeLogic, Inc.",Other Analytics
1205,CodeTogether,Peer Code Review
1206,CodeTwo Backup for Office 365,SaaS Backup
1207,Codeaid,Technical Skills Screening
1208,Codenvy,"Java Integrated Development Environments (IDE), Configuration Management, Python Integrated Development Environments (IDE)"
1209,CodersRank for Business,Other Recruiting
1210,Coding Invaders by MentorsPro,Technical Skills Development
1211,Codleo,"Cloud Consulting, Salesforce Consulting Services, HubSpot Consulting Services"
1212,Coefficient,Big Data Integration Platforms
1213,Coeus Data Warehouse Management,Data Warehouse
1214,Coginiti,Machine Learning Data Catalog
1215,Cogit,"Oracle Consulting Services, Microsoft Consulting Services, Infor Consulting Services"
1216,Cognitive Twin,Machine Learning
1217,Cognizant,"UKG Consulting Services, Braze Consulting Services, ServiceNow Consulting Services, AWS Consulting Services, Oracle Consulting Services, SAP Consulting Services, Microsoft Consulting Services, Business Process Management (BPM) Services, Robotic Process Automation (RPA) Consultancy Services, UKG Consulting, Twilio Consulting, IT Infrastructure Utility Services, Cloud Migration Services, IBM Security VARs, IBM Server VARs, Ruby on Rails Developers, iOS Developers, Cross-Platform Developers, Oracle Database Resellers, IT Infrastructure Consulting, Digital Transformation Consulting, Business Intelligence (BI) Consulting"
1218,Coherent Path,"Email Marketing, Personalization, Personalization Engines"
1219,Cohesity Helios,"Disaster Recovery, Server Backup, ServiceNow Store Apps, Online Backup, SaaS Backup"
1220,Cohley,"Content Distribution, Content Creation, User-Generated Content"
1221,Colabo,"Chatbots, Data Visualization, Personalization Engines"
1222,Colaboratory for G Suite,Google Workspace Development Tools
1223,Coldlytics,"Lead Mining, Lead Intelligence"
1224,Collabio,Cloud Content Collaboration
1225,Collaboard,Collaborative Whiteboard
1226,Collaborate Space,Video Conferencing
1227,Collect,Client Portal
1228,Collect.chat,Bot Platforms
1229,Collectiv,"Data Governance Services, Business Intelligence (BI) Consulting, Enterprise Performance Management (EPM) Consultants, Microsoft Consulting Services"
1230,Collibra,"SAP Store, Active Metadata Management, Sensitive Data Discovery, Privacy Impact Assessment (PIA), Data Subject Access Request (DSAR), Data Privacy Management, Data Governance, Machine Learning Data Catalog, Data Quality"
1231,Colour Contrast Analyser (CCA),Digital Accessibility Tools
1232,Com Olho,Click Fraud
1233,Comarch EDI and e-Invoicing,"Electronic Data Interchange (EDI), AP Automation"
1234,Comet Backup,"Database Backup, Server Backup, Data Replication"
